PrecioActual,PrecioAnterior,metros,habitaciones,baños,planta_num,Latitud,Longitud,zona_barajas,zona_barrio-de-salamanca,zona_carabanchel,zona_centro,zona_chamartin,zona_chamberi,zona_ciudad-lineal,zona_fuencarral,zona_hortaleza,zona_latina,zona_moncloa,zona_moratalaz,zona_puente-de-vallecas,zona_retiro,zona_san-blas,zona_tetuan,zona_usera,zona_vicalvaro,zona_villa-de-vallecas,zona_villaverde,ascensor_S,localizacion_EXTERIOR
291400,294400,100,4.0,3,0.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1079000,0,128,3.0,0,2.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1849000,0,157,3.0,0,2.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
315000,0,70,1.0,0,0.0,40.4733176,-3.5798446,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1695000,0,113,3.0,0,5.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
830000,870000,108,2.0,0,3.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
574000,0,88,2.0,0,1.0,40.4725491,-3.6425515,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
622000,0,89,2.0,0,3.0,40.426213,-3.7009931,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
270000,0,115,3.0,0,2.0,40.3868601,-3.6591803,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
546000,0,137,3.0,0,8.0,40.3739576,-3.6121632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
235000,0,95,1.0,1,2.0,40.3739576,-3.6121632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
350000,0,92,2.0,0,0.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
825000,0,175,3.0,0,3.0,40.4111495,-3.6760566,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
2875000,0,434,6.0,0,10.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
