zona,PrecioActual,metros,habitaciones,ascensor,localizacion,planta,baños
usera,250000,63,3,S,EXTERIOR,11ª,0
san-blas,149500,57,1,N,EXTERIOR,4ª,0
fuencarral,1990000,240,5,S,EXTERIOR,BAJO,0
carabanchel,250000,110,2,S,EXTERIOR,BAJO,0
hortaleza,578000,138,3,S,EXTERIOR,3ª,2
latina,280000,80,2,S,EXTERIOR,2ª,0
san-blas,305000,65,1,S,EXTERIOR,6ª,0
centro,230000,40,1,N,INTERIOR,2ª,0
villa-de-vallecas,270000,93,2,S,EXTERIOR,4ª,0
chamberi,2800000,186,3,S,EXTERIOR,7ª,0
chamartin,690000,105,2,S,EXTERIOR,2ª,0
hortaleza,650000,146,4,S,EXTERIOR,2ª,0
moratalaz,91000,97,3,S,EXTERIOR,2ª,0
villa-de-vallecas,215000,80,3,S,EXTERIOR,2ª,0
arganzuela,1350000,160,2,S,EXTERIOR,7ª,0
centro,5025000,309,3,S,EXTERIOR,1ª,0
latina,299500,77,3,S,EXTERIOR,4ª,0
retiro,4100000,322,4,S,EXTERIOR,3ª,0
chamartin,2500000,207,3,S,EXTERIOR,3ª,0
centro,280000,49,1,S,EXTERIOR,1ª,1
chamartin,980000,122,3,S,EXTERIOR,1ª,0
centro,298000,40,1,S,INTERIOR,5ª,0
retiro,1915300,193,4,S,EXTERIOR,4ª,3
arganzuela,625000,95,3,S,EXTERIOR,5ª,0
barrio-de-salamanca,1350000,100,3,N,EXTERIOR,3ª,0
ciudad-lineal,841000,190,4,S,EXTERIOR,9ª,2
fuencarral,700000,190,5,S,EXTERIOR,4ª,0
tetuan,232000,45,1,N,INTERIOR,BAJO,0
barrio-de-salamanca,750000,75,1,S,EXTERIOR,4ª,0
centro,429000,76,2,S,EXTERIOR,3ª,0
carabanchel,279000,77,3,N,EXTERIOR,2ª,0
ciudad-lineal,1032444,134,3,S,EXTERIOR,1ª,0
centro,1580000,125,3,S,EXTERIOR,3ª,0
arganzuela,379000,120,2,N,EXTERIOR,BAJO,0
villaverde,196000,54,1,S,EXTERIOR,2ª,0
villaverde,140000,65,2,N,EXTERIOR,BAJO,0
usera,315000,71,3,N,EXTERIOR,1ª,0
barrio-de-salamanca,630000,67,2,S,EXTERIOR,3ª,0
centro,395000,84,3,S,EXTERIOR,BAJO,2
carabanchel,365000,99,3,S,EXTERIOR,3ª,0
centro,1200000,169,3,S,EXTERIOR,1ª,2
barrio-de-salamanca,13000000,425,5,S,EXTERIOR,3ª,0
latina,340000,105,4,S,EXTERIOR,10ª,0
retiro,618000,70,2,S,EXTERIOR,1ª,0
moratalaz,455000,92,3,S,EXTERIOR,7ª,0
hortaleza,1050000,188,3,S,EXTERIOR,3ª,0
centro,295000,45,1,S,INTERIOR,2ª,0
barrio-de-salamanca,1790000,183,4,S,EXTERIOR,2ª,0
centro,707000,73,2,S,EXTERIOR,2ª,0
centro,2100000,250,3,S,EXTERIOR,3ª,0
carabanchel,173000,81,2,N,INTERIOR,1ª,1
villaverde,279000,87,3,S,EXTERIOR,4ª,2
centro,278000,63,2,N,EXTERIOR,4ª,0
retiro,800000,101,3,S,INTERIOR,ENTREPLANTA,2
centro,230000,63,2,S,INTERIOR,BAJO,0
usera,175000,50,2,N,EXTERIOR,1ª,0
retiro,330000,63,2,N,INTERIOR,BAJO,0
chamberi,550000,70,2,S,INTERIOR,2ª,0
chamartin,2300000,265,5,S,EXTERIOR,6ª,0
vicalvaro,674000,241,4,S,EXTERIOR,9ª,0
puente-de-vallecas,176000,46,1,S,EXTERIOR,BAJO,1
ciudad-lineal,350000,64,2,S,EXTERIOR,3ª,0
centro,395000,44,1,S,EXTERIOR,1ª,0
moncloa,550000,101,3,N,EXTERIOR,4ª,2
chamberi,846000,78,2,S,EXTERIOR,1ª,0
centro,2300000,160,3,S,EXTERIOR,4ª,0
fuencarral,680000,162,3,S,EXTERIOR,1ª,2
arganzuela,260000,55,2,N,EXTERIOR,SÓTANO,0
puente-de-vallecas,214000,66,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,750000,74,2,S,EXTERIOR,1ª,2
villaverde,175000,65,3,N,EXTERIOR,1ª,0
hortaleza,550000,69,1,S,EXTERIOR,BAJO,0
barrio-de-salamanca,1790000,165,3,S,EXTERIOR,4ª,0
barrio-de-salamanca,1179000,110,2,S,INTERIOR,5ª,0
barrio-de-salamanca,305000,38,1,N,INTERIOR,2ª,0
chamartin,1650000,181,2,S,EXTERIOR,BAJO,0
centro,186900,40,1,N,EXTERIOR,BAJO,0
ciudad-lineal,1750000,370,5,S,EXTERIOR,3ª,0
chamberi,780000,101,3,S,EXTERIOR,5ª,2
latina,205000,68,3,N,EXTERIOR,1ª,0
carabanchel,543800,195,6,N,EXTERIOR,1ª,4
latina,279482,45,1,S,EXTERIOR,2ª,0
barrio-de-salamanca,1479000,136,3,S,EXTERIOR,2ª,0
centro,996000,122,3,S,EXTERIOR,1ª,2
centro,1310000,117,2,S,EXTERIOR,3ª,0
puente-de-vallecas,200000,69,3,N,INTERIOR,BAJO,1
chamberi,840000,140,3,S,EXTERIOR,1ª,2
barrio-de-salamanca,585000,104,3,S,EXTERIOR,5ª,0
retiro,679000,105,4,S,EXTERIOR,2ª,0
villaverde,174000,50,3,N,EXTERIOR,2ª,0
retiro,725000,125,3,S,INTERIOR,ENTREPLANTA,0
barrio-de-salamanca,5500000,277,4,S,EXTERIOR,4ª,0
barrio-de-salamanca,4800000,500,5,S,INTERIOR,4ª,0
tetuan,850000,150,3,N,EXTERIOR,BAJO,0
carabanchel,282000,71,2,S,EXTERIOR,BAJO,0
chamartin,649000,127,2,S,EXTERIOR,ENTREPLANTA,0
ciudad-lineal,820000,97,2,S,EXTERIOR,1ª,0
barrio-de-salamanca,610000,58,1,S,INTERIOR,6ª,0
barrio-de-salamanca,2590000,290,4,S,EXTERIOR,6ª,0
centro,680000,72,2,S,EXTERIOR,4ª,0
retiro,1800000,185,2,S,EXTERIOR,2ª,0
chamberi,299000,55,2,S,INTERIOR,SÓTANO,0
barrio-de-salamanca,2250000,263,5,S,EXTERIOR,6ª,0
puente-de-vallecas,99000,52,2,S,EXTERIOR,2ª,1
retiro,365000,61,2,S,EXTERIOR,BAJO,2
retiro,595000,119,3,S,EXTERIOR,1ª,2
ciudad-lineal,395000,80,2,S,EXTERIOR,3ª,0
centro,789000,84,2,N,EXTERIOR,4ª,2
barrio-de-salamanca,2960000,150,2,S,EXTERIOR,4ª,0
centro,1250000,138,2,S,EXTERIOR,5ª,0
latina,225000,95,1,S,EXTERIOR,BAJO,0
barrio-de-salamanca,980000,110,2,S,EXTERIOR,1ª,0
retiro,590000,116,1,S,EXTERIOR,BAJO,0
barrio-de-salamanca,615000,95,3,N,EXTERIOR,3ª,0
ciudad-lineal,220000,56,2,N,EXTERIOR,2ª,1
villa-de-vallecas,389999,154,4,S,EXTERIOR,2ª,0
chamberi,995000,75,1,S,EXTERIOR,6ª,0
retiro,1500000,284,3,S,EXTERIOR,BAJO,0
barrio-de-salamanca,1700000,175,2,S,EXTERIOR,1ª,0
ciudad-lineal,264000,77,3,N,EXTERIOR,1ª,0
moncloa,1690000,170,4,S,EXTERIOR,4ª,0
moncloa,540000,112,3,S,INTERIOR,BAJO,0
barrio-de-salamanca,3200000,200,4,S,EXTERIOR,5ª,0
barrio-de-salamanca,1329000,135,2,S,EXTERIOR,1ª,2
carabanchel,298000,93,3,S,EXTERIOR,1ª,2
puente-de-vallecas,205000,58,2,N,EXTERIOR,3ª,1
ciudad-lineal,335000,73,2,S,EXTERIOR,1ª,0
carabanchel,236000,92,4,N,EXTERIOR,3ª,0
vicalvaro,349000,73,2,S,EXTERIOR,1ª,0
tetuan,429000,47,2,S,EXTERIOR,6ª,0
ciudad-lineal,350000,80,2,S,EXTERIOR,10ª,0
ciudad-lineal,370000,105,4,S,EXTERIOR,2ª,0
tetuan,590000,120,3,S,EXTERIOR,1ª,0
centro,240000,50,1,N,INTERIOR,BAJO,0
barrio-de-salamanca,660000,122,2,S,EXTERIOR,BAJO,0
barrio-de-salamanca,8200000,476,5,S,EXTERIOR,3ª,0
barrio-de-salamanca,1309000,78,2,S,EXTERIOR,6ª,0
centro,950000,85,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,1299000,101,3,S,EXTERIOR,2ª,0
chamberi,4900000,581,5,S,EXTERIOR,1ª,0
centro,359000,60,2,N,INTERIOR,2ª,0
barrio-de-salamanca,4500000,310,4,N,EXTERIOR,5ª,0
tetuan,268000,53,1,N,EXTERIOR,BAJO,0
moncloa,980000,250,5,S,EXTERIOR,2ª,0
barrio-de-salamanca,840000,177,4,S,EXTERIOR,5ª,0
barrio-de-salamanca,600000,60,2,S,INTERIOR,1ª,0
centro,520000,52,1,S,EXTERIOR,4ª,0
ciudad-lineal,253800,45,1,N,EXTERIOR,BAJO,0
carabanchel,144000,53,2,N,EXTERIOR,4ª,0
arganzuela,215000,60,1,N,INTERIOR,3ª,1
moratalaz,290000,102,3,S,EXTERIOR,5ª,2
centro,1224000,153,4,S,EXTERIOR,BAJO,4
moncloa,635000,54,1,S,EXTERIOR,3ª,0
puente-de-vallecas,166000,60,2,N,EXTERIOR,4ª,0
chamberi,1650000,160,4,S,EXTERIOR,3ª,0
barrio-de-salamanca,1400000,123,3,S,EXTERIOR,6ª,0
fuencarral,779000,140,3,S,EXTERIOR,3ª,0
arganzuela,490000,71,2,S,EXTERIOR,1ª,0
barrio-de-salamanca,3750000,200,3,S,EXTERIOR,3ª,0
moncloa,1200000,251,5,S,EXTERIOR,4ª,0
villaverde,320000,130,3,S,EXTERIOR,BAJO,0
centro,785000,121,2,S,EXTERIOR,4ª,2
tetuan,360000,63,2,S,EXTERIOR,ENTREPLANTA,0
barrio-de-salamanca,1789000,110,2,S,INTERIOR,2ª,0
tetuan,349000,75,3,S,INTERIOR,1ª,0
barrio-de-salamanca,545000,53,1,S,INTERIOR,7ª,0
puente-de-vallecas,319000,120,4,S,EXTERIOR,4ª,0
centro,480000,95,4,N,EXTERIOR,BAJO,0
chamartin,1320000,162,3,S,EXTERIOR,2ª,3
moncloa,670000,146,5,S,INTERIOR,1ª,1
retiro,885000,104,2,S,INTERIOR,2ª,0
san-blas,190000,78,1,S,EXTERIOR,3ª,0
centro,700000,115,1,S,EXTERIOR,3ª,0
tetuan,250000,65,1,S,EXTERIOR,BAJO,0
vicalvaro,509900,125,4,S,EXTERIOR,4ª,0
arganzuela,447000,84,2,S,EXTERIOR,1ª,0
usera,240000,57,3,S,EXTERIOR,2ª,0
barrio-de-salamanca,3600000,237,3,S,EXTERIOR,2ª,0
usera,220000,85,3,N,EXTERIOR,2ª,1
retiro,1380000,195,3,S,EXTERIOR,6ª,2
barrio-de-salamanca,845000,80,2,S,EXTERIOR,3ª,0
barrio-de-salamanca,395000,42,1,S,INTERIOR,SÓTANO,0
carabanchel,200000,95,2,S,EXTERIOR,3ª,0
centro,260000,48,2,N,INTERIOR,5ª,1
centro,1100000,126,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,1489950,112,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,897000,107,3,S,EXTERIOR,3ª,0
chamberi,1200000,225,4,S,EXTERIOR,2ª,3
chamberi,930000,115,3,S,EXTERIOR,2ª,0
san-blas,420000,140,2,S,EXTERIOR,3ª,0
tetuan,500000,80,3,S,EXTERIOR,3ª,0
villa-de-vallecas,175000,65,3,N,EXTERIOR,3ª,1
chamberi,682000,60,1,S,EXTERIOR,1ª,0
chamartin,1100000,140,3,S,EXTERIOR,3ª,0
carabanchel,315000,105,2,S,EXTERIOR,2ª,2
carabanchel,324900,97,1,S,EXTERIOR,3ª,0
chamartin,575000,135,3,S,EXTERIOR,15ª,0
san-blas,399900,91,3,S,EXTERIOR,11ª,0
centro,330000,56,2,N,EXTERIOR,BAJO,0
carabanchel,199000,80,1,N,EXTERIOR,BAJO,0
hortaleza,599000,105,3,S,EXTERIOR,2ª,0
moncloa,589000,98,4,N,EXTERIOR,2ª,0
barrio-de-salamanca,929000,86,3,S,EXTERIOR,4ª,0
retiro,848000,179,5,S,EXTERIOR,3ª,0
chamberi,340000,42,2,S,INTERIOR,1ª,0
latina,230000,83,3,S,EXTERIOR,BAJO,0
barrio-de-salamanca,2000000,149,3,S,EXTERIOR,5ª,0
arganzuela,515000,108,4,S,EXTERIOR,1ª,0
barrio-de-salamanca,2328000,258,3,S,EXTERIOR,4ª,1
centro,960000,204,6,S,EXTERIOR,3ª,0
carabanchel,320000,60,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,720000,75,2,S,INTERIOR,1ª,2
barrio-de-salamanca,1199000,104,2,S,EXTERIOR,3ª,0
villaverde,168900,74,3,N,EXTERIOR,3ª,0
puente-de-vallecas,125000,67,1,N,EXTERIOR,BAJO,0
arganzuela,199000,40,2,S,INTERIOR,3ª,1
villa-de-vallecas,576000,204,3,S,EXTERIOR,5ª,0
arganzuela,595000,114,2,S,EXTERIOR,4ª,0
villaverde,138000,94,5,S,EXTERIOR,4ª,0
carabanchel,189000,75,3,N,EXTERIOR,4ª,0
chamartin,1320000,174,3,S,EXTERIOR,2ª,0
chamartin,1300000,172,4,S,EXTERIOR,1ª,0
vicalvaro,238000,110,3,S,EXTERIOR,BAJO,0
ciudad-lineal,550000,107,2,S,EXTERIOR,1ª,0
carabanchel,261050,97,3,N,EXTERIOR,1ª,0
carabanchel,150000,65,3,N,EXTERIOR,5ª,0
barrio-de-salamanca,4800000,500,6,S,EXTERIOR,4ª,0
barrio-de-salamanca,7100000,364,4,S,EXTERIOR,5ª,4
barrio-de-salamanca,1365000,130,2,S,INTERIOR,6ª,2
carabanchel,255000,64,3,N,EXTERIOR,4ª,0
chamberi,2450000,210,4,S,EXTERIOR,5ª,0
barrio-de-salamanca,2250000,205,3,S,EXTERIOR,3ª,0
usera,257000,77,2,N,EXTERIOR,1ª,1
centro,364000,49,2,S,EXTERIOR,5ª,0
retiro,959000,91,3,S,INTERIOR,BAJO,0
centro,959000,142,2,N,EXTERIOR,1ª,0
centro,4300000,316,3,N,EXTERIOR,2ª,0
centro,930000,122,2,N,EXTERIOR,2ª,0
tetuan,579000,93,3,S,EXTERIOR,4ª,0
tetuan,410000,79,1,S,EXTERIOR,1ª,0
barrio-de-salamanca,1539000,109,3,S,EXTERIOR,3ª,0
tetuan,350000,70,2,S,EXTERIOR,2ª,0
carabanchel,160000,80,1,N,EXTERIOR,BAJO,0
retiro,715000,123,3,S,EXTERIOR,8ª,0
retiro,575000,96,2,S,EXTERIOR,1ª,0
latina,230000,68,2,N,EXTERIOR,2ª,0
tetuan,625000,71,2,S,EXTERIOR,1ª,0
fuencarral,940000,90,2,S,EXTERIOR,5ª,2
chamartin,700000,92,3,S,EXTERIOR,1ª,0
centro,299900,86,2,S,EXTERIOR,5ª,0
barrio-de-salamanca,889000,94,3,S,INTERIOR,4ª,1
chamberi,1050000,143,3,S,EXTERIOR,6ª,0
carabanchel,490000,111,3,S,EXTERIOR,7ª,0
tetuan,413890,108,3,S,EXTERIOR,4ª,0
puente-de-vallecas,183000,44,1,N,INTERIOR,BAJO,0
barrio-de-salamanca,2099000,144,3,S,EXTERIOR,6ª,0
san-blas,650000,145,2,S,EXTERIOR,2ª,0
barrio-de-salamanca,1489950,137,3,S,EXTERIOR,3ª,1
ciudad-lineal,1790000,383,5,S,EXTERIOR,2ª,4
san-blas,250000,55,2,N,EXTERIOR,BAJO,0
centro,1310000,118,2,S,EXTERIOR,3ª,0
hortaleza,750000,120,4,S,EXTERIOR,4ª,2
tetuan,169000,26,1,S,INTERIOR,1ª,0
usera,169000,57,1,S,EXTERIOR,2ª,0
centro,1650000,260,4,S,EXTERIOR,1ª,0
chamberi,1822670,128,3,S,EXTERIOR,7ª,0
chamberi,215000,50,2,N,INTERIOR,BAJO,0
chamberi,1415000,177,4,S,EXTERIOR,2ª,1
tetuan,460000,108,3,S,EXTERIOR,4ª,0
latina,199000,65,2,N,EXTERIOR,4ª,0
arganzuela,165000,29,1,N,INTERIOR,BAJO,0
tetuan,210000,36,2,S,INTERIOR,4ª,1
villa-de-vallecas,274415,79,2,S,EXTERIOR,2ª,0
barrio-de-salamanca,4950000,271,4,S,EXTERIOR,1ª,1
chamartin,915000,164,5,S,EXTERIOR,1ª,0
centro,870000,155,2,S,EXTERIOR,2ª,0
barrio-de-salamanca,850000,93,2,S,EXTERIOR,1ª,0
barrio-de-salamanca,1700000,175,2,S,EXTERIOR,1ª,0
tetuan,210000,36,2,S,INTERIOR,4ª,0
barrio-de-salamanca,1595000,180,2,S,EXTERIOR,2ª,1
chamartin,449000,67,1,S,EXTERIOR,2ª,1
chamartin,875000,166,3,S,EXTERIOR,2ª,2
chamberi,855000,100,3,S,EXTERIOR,1ª,1
centro,600000,54,2,N,INTERIOR,5ª,1
moncloa,925000,143,3,S,EXTERIOR,1ª,0
tetuan,830000,182,4,S,EXTERIOR,1ª,0
centro,399990,70,2,S,EXTERIOR,2ª,1
hortaleza,749000,200,4,S,EXTERIOR,5ª,0
chamartin,829000,76,2,N,INTERIOR,1ª,2
retiro,990000,180,4,S,EXTERIOR,BAJO,0
barrio-de-salamanca,4360000,315,3,S,EXTERIOR,4ª,0
carabanchel,190000,70,3,N,EXTERIOR,BAJO,0
centro,675000,174,5,S,INTERIOR,1ª,0
ciudad-lineal,265000,76,3,N,EXTERIOR,4ª,1
latina,429700,104,3,S,EXTERIOR,1ª,0
centro,1300000,112,2,S,EXTERIOR,4ª,0
moncloa,1200000,185,5,S,EXTERIOR,1ª,0
barrio-de-salamanca,1839000,163,3,S,EXTERIOR,5ª,0
ciudad-lineal,680000,134,4,S,EXTERIOR,7ª,2
chamartin,1850000,283,5,S,EXTERIOR,2ª,0
villaverde,177000,49,3,N,EXTERIOR,2ª,1
barrio-de-salamanca,1490000,186,5,S,EXTERIOR,3ª,2
barrio-de-salamanca,1495000,97,2,S,EXTERIOR,5ª,0
barrio-de-salamanca,1085000,95,2,S,EXTERIOR,5ª,0
chamartin,994000,184,4,S,EXTERIOR,17ª,0
centro,630000,111,3,N,EXTERIOR,1ª,2
hortaleza,945000,220,5,S,EXTERIOR,4ª,0
centro,900000,78,2,S,EXTERIOR,7ª,0
centro,225000,24,1,N,EXTERIOR,4ª,0
barrio-de-salamanca,620000,75,3,S,INTERIOR,ENTREPLANTA,0
centro,989000,112,3,N,EXTERIOR,2ª,3
chamberi,1700000,300,3,S,EXTERIOR,1ª,3
chamartin,995000,224,4,S,EXTERIOR,BAJO,0
latina,263000,69,3,S,EXTERIOR,4ª,0
chamartin,330000,51,1,S,EXTERIOR,BAJO,0
chamartin,1700000,198,4,S,EXTERIOR,4ª,0
latina,119900,54,1,N,EXTERIOR,SÓTANO,1
arganzuela,290000,72,1,S,EXTERIOR,BAJO,1
tetuan,680000,146,4,S,EXTERIOR,5ª,0
chamberi,439000,46,1,S,INTERIOR,ENTREPLANTA,0
chamberi,1000000,87,1,S,EXTERIOR,1ª,0
puente-de-vallecas,167900,75,3,N,EXTERIOR,3ª,0
centro,860000,87,2,S,EXTERIOR,5ª,0
chamartin,1050000,156,5,S,EXTERIOR,1ª,0
centro,420000,60,3,N,EXTERIOR,3ª,0
centro,919000,96,3,S,INTERIOR,3ª,1
san-blas,298000,81,3,N,EXTERIOR,2ª,0
puente-de-vallecas,124600,58,2,S,EXTERIOR,4ª,0
tetuan,600000,60,2,S,EXTERIOR,10ª,0
centro,405000,56,1,N,EXTERIOR,3ª,0
chamberi,2800000,210,3,S,EXTERIOR,4ª,0
centro,495000,64,3,S,INTERIOR,4ª,0
barrio-de-salamanca,895000,88,1,S,EXTERIOR,6ª,1
chamberi,295000,44,1,N,EXTERIOR,BAJO,2
villaverde,223000,73,2,S,EXTERIOR,1ª,2
villa-de-vallecas,220000,51,1,S,INTERIOR,1ª,0
chamartin,499900,82,3,S,INTERIOR,4ª,0
barrio-de-salamanca,829000,63,2,S,INTERIOR,1ª,0
centro,540000,83,2,S,EXTERIOR,1ª,0
barrio-de-salamanca,2650000,300,5,S,EXTERIOR,5ª,0
hortaleza,250000,55,2,S,EXTERIOR,5ª,1
retiro,390000,141,4,S,EXTERIOR,4ª,2
centro,2700000,268,3,S,EXTERIOR,6ª,0
centro,1300000,210,4,S,EXTERIOR,1ª,0
vicalvaro,232861,70,2,S,EXTERIOR,2ª,0
puente-de-vallecas,119073,75,2,N,INTERIOR,2ª,0
barrio-de-salamanca,705000,119,3,S,EXTERIOR,1ª,0
moncloa,925000,107,3,S,EXTERIOR,2ª,2
tetuan,350000,99,4,N,EXTERIOR,4ª,1
tetuan,155000,45,2,N,EXTERIOR,4ª,0
moncloa,1170000,317,4,S,EXTERIOR,2ª,0
chamartin,2240000,136,2,S,EXTERIOR,6ª,0
tetuan,995000,159,2,S,EXTERIOR,1ª,0
puente-de-vallecas,180000,49,3,N,EXTERIOR,3ª,1
hortaleza,5950000,650,6,S,EXTERIOR,5ª,0
barrio-de-salamanca,1550000,140,3,S,EXTERIOR,10ª,0
chamartin,1400000,236,4,S,EXTERIOR,1ª,0
carabanchel,365000,86,2,S,EXTERIOR,2ª,0
ciudad-lineal,249930,86,2,S,EXTERIOR,BAJO,0
carabanchel,74600,40,2,S,EXTERIOR,BAJO,1
hortaleza,1200000,140,4,S,EXTERIOR,6ª,0
arganzuela,239000,50,1,S,EXTERIOR,BAJO,0
barrio-de-salamanca,2800000,225,4,S,EXTERIOR,4ª,0
fuencarral,430000,88,2,S,EXTERIOR,7ª,0
retiro,1240000,120,3,S,EXTERIOR,4ª,0
chamberi,3300000,384,4,S,EXTERIOR,1ª,0
puente-de-vallecas,75000,29,1,N,EXTERIOR,BAJO,1
centro,425000,70,1,N,EXTERIOR,2ª,0
barrio-de-salamanca,1349000,120,2,S,INTERIOR,1ª,0
retiro,550000,93,2,S,EXTERIOR,2ª,0
barrio-de-salamanca,7900000,425,4,S,EXTERIOR,4ª,0
centro,900000,147,5,S,INTERIOR,6ª,2
ciudad-lineal,299900,60,2,S,EXTERIOR,2ª,0
chamberi,270000,37,1,N,INTERIOR,BAJO,1
retiro,1149000,119,2,S,INTERIOR,3ª,2
retiro,2700000,220,2,S,EXTERIOR,ENTREPLANTA,0
retiro,759000,55,1,S,EXTERIOR,3ª,0
carabanchel,275000,74,1,S,EXTERIOR,3ª,0
centro,293000,84,3,S,EXTERIOR,BAJO,0
villaverde,86000,51,3,N,EXTERIOR,1ª,0
barrio-de-salamanca,620000,97,3,S,EXTERIOR,1ª,2
latina,129000,57,2,S,EXTERIOR,3ª,0
chamberi,6200000,548,5,S,EXTERIOR,7ª,0
arganzuela,1100000,166,3,S,EXTERIOR,4ª,0
chamartin,4800000,463,4,S,EXTERIOR,1ª,0
chamartin,750000,80,1,S,EXTERIOR,4ª,0
san-blas,680000,105,2,S,EXTERIOR,7ª,2
carabanchel,199000,66,3,N,EXTERIOR,1ª,0
barrio-de-salamanca,2469000,271,4,S,EXTERIOR,1ª,0
barrio-de-salamanca,2359000,207,3,S,EXTERIOR,6ª,0
hortaleza,795000,145,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,2350000,156,3,S,EXTERIOR,5ª,0
chamberi,1690000,146,2,S,EXTERIOR,4ª,0
ciudad-lineal,499000,95,2,S,EXTERIOR,1ª,2
vicalvaro,268690,106,3,S,EXTERIOR,1ª,0
centro,789000,105,2,N,EXTERIOR,4ª,0
barrio-de-salamanca,3650000,240,4,S,EXTERIOR,4ª,0
puente-de-vallecas,228000,68,2,S,EXTERIOR,BAJO,0
barrio-de-salamanca,2215000,323,5,S,EXTERIOR,1ª,0
centro,440000,97,1,S,EXTERIOR,2ª,1
retiro,2950000,240,3,S,EXTERIOR,1ª,1
vicalvaro,360000,100,2,S,EXTERIOR,4ª,0
ciudad-lineal,225000,60,3,S,EXTERIOR,BAJO,0
ciudad-lineal,755000,102,2,S,EXTERIOR,3ª,0
centro,1195000,134,2,S,EXTERIOR,5ª,0
barrio-de-salamanca,675000,75,2,S,INTERIOR,BAJO,0
barrio-de-salamanca,6800000,501,5,S,EXTERIOR,2ª,0
centro,910000,135,4,S,EXTERIOR,3ª,0
centro,340000,80,2,N,EXTERIOR,1ª,0
centro,690000,106,4,S,INTERIOR,ENTREPLANTA,0
arganzuela,750000,121,4,S,EXTERIOR,3ª,2
carabanchel,482000,100,3,S,EXTERIOR,2ª,0
barrio-de-salamanca,1490000,160,3,S,EXTERIOR,5ª,2
carabanchel,120000,33,1,N,EXTERIOR,BAJO,1
arganzuela,990000,200,3,S,EXTERIOR,5ª,2
centro,798000,160,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,1600000,120,3,S,EXTERIOR,4ª,0
latina,348000,95,2,S,EXTERIOR,9ª,0
barrio-de-salamanca,7900000,475,4,S,EXTERIOR,2ª,0
tetuan,1075000,252,5,S,INTERIOR,2ª,0
fuencarral,430000,81,2,S,EXTERIOR,7ª,0
hortaleza,190000,60,2,N,EXTERIOR,1ª,0
centro,268900,55,2,N,INTERIOR,SÓTANO,0
barrio-de-salamanca,345000,74,2,S,EXTERIOR,6ª,0
centro,959000,142,2,N,EXTERIOR,1ª,0
centro,820000,105,2,N,EXTERIOR,1ª,0
ciudad-lineal,385000,78,3,S,EXTERIOR,4ª,0
fuencarral,999000,260,5,S,EXTERIOR,5ª,0
ciudad-lineal,442500,103,2,S,EXTERIOR,1ª,0
usera,144900,75,3,S,EXTERIOR,1ª,1
moncloa,1350000,200,4,S,EXTERIOR,2ª,0
barrio-de-salamanca,700000,111,3,S,EXTERIOR,1ª,2
latina,244900,75,2,S,EXTERIOR,4ª,0
chamberi,2500000,238,3,S,EXTERIOR,3ª,0
ciudad-lineal,835000,101,2,S,EXTERIOR,BAJO,0
hortaleza,1150000,181,3,S,EXTERIOR,2ª,0
tetuan,920000,149,3,S,EXTERIOR,3ª,0
centro,1149000,164,3,S,EXTERIOR,3ª,0
usera,103000,91,3,N,EXTERIOR,BAJO,0
tetuan,285000,52,2,N,EXTERIOR,BAJO,1
moncloa,260000,61,2,S,EXTERIOR,4ª,0
barrio-de-salamanca,7000000,425,5,S,EXTERIOR,5ª,0
centro,1610000,229,3,S,EXTERIOR,5ª,3
chamartin,320000,40,1,N,EXTERIOR,BAJO,0
san-blas,155000,56,2,N,EXTERIOR,4ª,1
ciudad-lineal,265000,52,1,N,EXTERIOR,4ª,0
carabanchel,399000,171,3,S,EXTERIOR,BAJO,2
chamartin,699000,135,4,S,EXTERIOR,1ª,2
moncloa,1490000,168,4,S,EXTERIOR,4ª,0
centro,2890000,210,3,S,EXTERIOR,3ª,0
ciudad-lineal,669000,200,3,S,EXTERIOR,4ª,0
chamartin,2100000,300,4,S,EXTERIOR,1ª,3
hortaleza,348000,54,1,S,EXTERIOR,3ª,0
latina,199000,84,3,S,EXTERIOR,BAJO,2
puente-de-vallecas,149000,45,1,S,EXTERIOR,BAJO,0
centro,259000,74,3,S,EXTERIOR,SÓTANO,0
ciudad-lineal,750000,160,4,S,EXTERIOR,6ª,3
puente-de-vallecas,332000,81,2,S,EXTERIOR,2ª,0
retiro,1270000,155,3,S,EXTERIOR,6ª,3
arganzuela,249000,52,1,S,EXTERIOR,BAJO,0
barrio-de-salamanca,979000,94,2,S,INTERIOR,2ª,0
barrio-de-salamanca,2100000,139,2,S,EXTERIOR,5ª,0
moncloa,785000,83,1,S,EXTERIOR,3ª,0
ciudad-lineal,309000,76,3,S,EXTERIOR,1ª,0
ciudad-lineal,345000,70,2,N,EXTERIOR,4ª,0
latina,259000,70,2,S,EXTERIOR,10ª,0
latina,290500,100,3,N,EXTERIOR,1ª,3
chamberi,430000,69,4,S,INTERIOR,BAJO,0
san-blas,220000,60,2,N,EXTERIOR,BAJO,0
carabanchel,225000,93,3,N,EXTERIOR,4ª,1
