zona,PrecioActual,metros,habitaciones,ascensor,localizacion,planta,baños
centro,286000,40,1,S,INTERIOR,BAJO,0
moncloa,1420000,171,2,S,EXTERIOR,2ª,0
moratalaz,174000,44,1,S,EXTERIOR,BAJO,0
carabanchel,179500,67,2,S,EXTERIOR,2ª,1
ciudad-lineal,1790000,261,3,S,EXTERIOR,13ª,0
vicalvaro,456900,105,3,S,EXTERIOR,6ª,0
moncloa,690000,159,6,S,EXTERIOR,BAJO,2
carabanchel,140000,69,2,N,EXTERIOR,4ª,0
barrio-de-salamanca,1600000,155,5,S,EXTERIOR,3ª,2
chamberi,1325000,146,4,S,EXTERIOR,7ª,0
villa-de-vallecas,195000,80,1,S,INTERIOR,BAJO,0
arganzuela,295000,35,2,S,INTERIOR,2ª,0
retiro,780000,121,3,S,INTERIOR,4ª,2
barrio-de-salamanca,1735000,164,3,S,EXTERIOR,5ª,0
fuencarral,126800,53,1,S,INTERIOR,10ª,0
centro,545000,112,3,S,EXTERIOR,1ª,2
hortaleza,855000,251,5,S,EXTERIOR,1ª,0
moncloa,1450000,340,5,S,EXTERIOR,2ª,0
barrio-de-salamanca,550000,115,3,S,EXTERIOR,1ª,0
ciudad-lineal,290000,85,3,S,EXTERIOR,1ª,0
moncloa,795000,121,2,S,EXTERIOR,2ª,1
barrio-de-salamanca,1300000,120,3,S,EXTERIOR,3ª,0
centro,1990000,235,5,S,EXTERIOR,2ª,0
centro,315000,35,1,N,EXTERIOR,4ª,0
barrio-de-salamanca,2469000,223,4,S,EXTERIOR,1ª,4
carabanchel,820000,157,3,S,EXTERIOR,5ª,0
villa-de-vallecas,298000,62,1,S,EXTERIOR,7ª,0
centro,725000,113,3,N,EXTERIOR,5ª,0
barrio-de-salamanca,3750000,237,4,S,EXTERIOR,1ª,0
centro,279000,49,3,N,INTERIOR,6ª,0
chamberi,3400000,386,4,S,EXTERIOR,5ª,0
barrio-de-salamanca,1150000,216,5,S,EXTERIOR,1ª,0
