zona,PrecioActual,metros,habitaciones,tiene_ascensor,localizacion,planta_num,baños,PrecioActual_log,Latitud,Longitud
centro,1150000,196,4.0,1,EXTERIOR,2.0,0,13.955273369904273,40.4176527,-3.7079547
centro,529000,87,3.0,0,EXTERIOR,2.0,1,13.178745601197818,40.4176527,-3.7079547
barrio-de-salamanca,2990000,308,5.0,1,EXTERIOR,4.0,0,14.910784279814974,40.4364379,-3.6857028
chamberi,1390000,110,2.0,1,EXTERIOR,9.0,0,14.144815024531075,40.4389621,-3.705302
hortaleza,136000,68,1.0,0,EXTERIOR,3.0,0,11.820417517632333,40.4725491,-3.6425515
hortaleza,600000,105,3.0,1,EXTERIOR,3.0,0,13.304686600863562,40.4725491,-3.6425515
barrio-de-salamanca,6000000,380,5.0,1,EXTERIOR,4.0,0,15.607270193858982,40.4364379,-3.6857028
barrio-de-salamanca,2619000,219,4.0,1,EXTERIOR,4.0,0,14.7783035053149,40.4364379,-3.6857028
san-blas,128000,59,20.0,0,EXTERIOR,0.0,0,11.759793355371237,40.4275001,-3.615954
arganzuela,375000,63,1.0,1,INTERIOR,7.0,0,12.834683971615659,40.3969535,-3.6972891
latina,180000,47,2.0,0,EXTERIOR,1.0,0,12.100717685412471,40.4035317,-3.736152
moncloa,571850,93,1.0,1,EXTERIOR,0.0,0,13.25663374691816,40.4350196,-3.719236
carabanchel,146990,72,2.0,1,EXTERIOR,2.0,0,11.898126639396782,40.3742112,-3.744676
tetuan,545000,90,3.0,1,EXTERIOR,2.0,2,13.208542908506082,40.4605781,-3.6982806
centro,440000,82,1.0,1,EXTERIOR,4.0,0,12.994532278619134,40.4176527,-3.7079547
centro,595000,132,3.0,1,EXTERIOR,5.0,0,13.296318365198623,40.4176527,-3.7079547
tetuan,228000,36,2.0,0,INTERIOR,4.0,0,12.337105293891872,40.4605781,-3.6982806
moncloa,520000,57,1.0,1,EXTERIOR,2.0,0,13.161586013632684,40.4350196,-3.719236
carabanchel,360000,78,2.0,1,EXTERIOR,10.0,1,12.793862088206213,40.3742112,-3.744676
chamberi,1565970,162,3.0,1,EXTERIOR,5.0,0,14.264016636842896,40.4389621,-3.705302
barrio-de-salamanca,1789000,152,2.0,1,INTERIOR,2.0,2,14.397167921462193,40.4364379,-3.6857028
hortaleza,923100,182,4.0,1,EXTERIOR,2.0,0,13.735493933283907,40.4725491,-3.6425515
chamartin,2300000,265,5.0,1,EXTERIOR,6.0,0,14.648420115681892,40.4739539,-3.6827087
ciudad-lineal,230000,68,3.0,0,EXTERIOR,0.0,0,12.345838935721968,40.4484305,-3.650495
retiro,1100000,136,3.0,1,EXTERIOR,0.0,0,13.910821646859095,40.4111495,-3.6760566
tetuan,545000,89,2.0,1,INTERIOR,2.0,0,13.208542908506082,40.4605781,-3.6982806
barrio-de-salamanca,3000000,200,3.0,1,EXTERIOR,4.0,0,14.914123179965662,40.4364379,-3.6857028
chamartin,2650000,368,4.0,1,EXTERIOR,6.0,0,14.790070575320824,40.4739539,-3.6827087
